variant,side,entry_time,entry_price,stop,target,size,exit_time,exit_price,pnl
"0.50% stop, ATR×3.0",long,2025-08-03 07:00:00,113700.0,113131.5,115221.04071428571,8,2025-08-03 15:00:00,113959.06,2278.4520668425475
"0.50% stop, ATR×3.0",long,2025-08-04 00:00:00,114899.87,114325.37065,116068.07642857142,8,2025-08-04 05:00:00,114325.37065,-5000.0
"0.50% stop, ATR×3.0",short,2025-08-05 03:00:00,114256.85,114828.13424999999,112970.91928571429,8,2025-08-05 10:00:00,114828.13424999999,-5000.0
"0.50% stop, ATR×3.0",long,2025-08-06 05:00:00,114148.01,113577.26994999999,115488.90928571428,8,2025-08-06 15:00:00,115413.87,11089.63704229258
"0.50% stop, ATR×3.0",short,2025-08-07 04:00:00,114349.58,114921.32789999999,113194.84142857142,8,2025-08-07 08:00:00,114921.32789999999,-5000.0
"0.50% stop, ATR×3.0",long,2025-08-07 10:00:00,116347.22,115765.4839,117505.05928571429,8,2025-08-07 15:00:00,116689.81,2944.548223842389
"0.50% stop, ATR×3.0",short,2025-08-09 03:00:00,116384.01,116965.93004999998,115239.61071428572,8,2025-08-09 05:00:00,116965.93004999998,-4999.999999999999
"0.50% stop, ATR×3.0",long,2025-08-09 08:00:00,117106.65,116521.11674999999,117992.6807142857,8,2025-08-09 15:00:00,116892.47,-1828.9311495119211
"0.50% stop, ATR×3.0",long,2025-08-10 03:00:00,118500.0,117907.5,119659.90714285715,8,2025-08-10 05:00:00,117907.5,-5000.0
"0.50% stop, ATR×3.0",long,2025-08-11 01:00:00,119988.0,119388.06,121392.56571428571,8,2025-08-11 02:00:00,121392.56571428571,11705.884874201616
"0.50% stop, ATR×3.0",short,2025-08-11 03:00:00,121728.99,122337.63494999999,119950.86642857143,8,2025-08-11 12:00:00,119950.86642857143,14607.231781259416
"0.50% stop, ATR×3.0",short,2025-08-12 09:00:00,118408.38,119000.42189999999,116972.91214285715,8,2025-08-12 12:00:00,119000.42189999999,-5000.0
"0.50% stop, ATR×3.0",short,2025-08-13 05:00:00,119070.69,119666.04344999998,117352.59,8,2025-08-13 08:00:00,119666.04344999998,-5000.0
